id,mode,hit_rate,mrr,ndcg,precision_at_5
1,simple,1.0,1.0,1.0,0.2
1,mmr,1.0,1.0,1.0,0.2
1,rerank,1.0,1.0,1.0,0.2
2,simple,1.0,1.0,1.0,0.2
2,mmr,1.0,1.0,1.0,0.2
2,rerank,1.0,1.0,1.0,0.2
3,simple,0.0,0.0,0.0,0.0
3,mmr,0.0,0.0,0.0,0.0
3,rerank,0.0,0.0,0.0,0.0
4,simple,1.0,1.0,1.0,0.2
4,mmr,1.0,1.0,1.0,0.2
4,rerank,1.0,1.0,1.0,0.2
5,simple,1.0,1.0,1.0,0.2
5,mmr,1.0,1.0,1.0,0.2
5,rerank,1.0,1.0,1.0,0.2
6,simple,0.0,0.0,0.0,0.0
6,mmr,0.0,0.0,0.0,0.0
6,rerank,0.0,0.0,0.0,0.0
7,simple,1.0,0.5,0.6309297535714575,0.2
7,mmr,1.0,0.2,0.38685280723454163,0.2
7,rerank,1.0,0.5,0.6309297535714575,0.2
8,simple,1.0,1.0,1.0,0.2
8,mmr,1.0,1.0,1.0,0.2
8,rerank,1.0,1.0,1.0,0.2
9,simple,1.0,1.0,1.0,0.2
9,mmr,1.0,1.0,1.0,0.2
9,rerank,1.0,1.0,1.0,0.2
10,simple,1.0,1.0,1.0,0.2
10,mmr,1.0,1.0,1.0,0.2
10,rerank,1.0,1.0,1.0,0.2
11,simple,0.0,0.0,0.0,0.0
11,mmr,1.0,0.25,0.43067655807339306,0.2
11,rerank,1.0,1.0,1.0,0.2
12,simple,0.0,0.0,0.0,0.0
12,mmr,0.0,0.14285714285714285,0.0,0.0
12,rerank,0.0,0.0,0.0,0.0
13,simple,0.0,0.0,0.0,0.0
13,mmr,0.0,0.0,0.0,0.0
13,rerank,0.0,0.0,0.0,0.0
14,simple,0.0,0.0,0.0,0.0
14,mmr,0.0,0.1,0.0,0.0
14,rerank,0.0,0.0,0.0,0.0
15,simple,1.0,1.0,1.0,0.2
15,mmr,1.0,1.0,1.0,0.2
15,rerank,1.0,1.0,1.0,0.2
16,simple,0.0,0.0,0.0,0.0
16,mmr,0.0,0.0,0.0,0.0
16,rerank,0.0,0.0,0.0,0.0
17,simple,0.0,0.0,0.0,0.0
17,mmr,0.0,0.0,0.0,0.0
17,rerank,0.0,0.0,0.0,0.0
18,simple,0.0,0.0,0.0,0.0
18,mmr,0.0,0.0,0.0,0.0
18,rerank,0.0,0.0,0.0,0.0
19,simple,1.0,0.3333333333333333,0.5,0.2
19,mmr,1.0,0.5,0.6309297535714575,0.2
19,rerank,1.0,1.0,1.0,0.2
20,simple,1.0,1.0,1.0,0.2
20,mmr,1.0,1.0,1.0,0.2
20,rerank,1.0,1.0,1.0,0.2
